Sat May 25 15:42:52 2024       
Device: cuda
[0/100] Train Acc: 0.5604375, Test Acc: 0.900390625, Train Loss: 1.9067927558898925, Test Loss: 1.574518376435989
[78/100] Train Acc: 0.9964625, Test Acc: 1.0, Train Loss: 1.4646670740127563, Test Loss: 1.4611507654190063
[79/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4611507659912109, Test Loss: 1.4611507654190063
[80/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.461150765800476, Test Loss: 1.4611507654190063
[81/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4611507654190063, Test Loss: 1.4611507654190063
[82/100] Train Acc: 0.9963375, Test Acc: 1.0, Train Loss: 1.4647995115280152, Test Loss: 1.4611507654190063
[83/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.461150765800476, Test Loss: 1.4611507654190063
[84/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.461150765800476, Test Loss: 1.4611507654190063
[85/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.461150765609741, Test Loss: 1.4611507654190063
[86/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4611507654190063, Test Loss: 1.4611507654190063
[87/100] Train Acc: 0.886325, Test Acc: 0.7977263621794872, Train Loss: 1.5731610122680664, Test Loss: 1.65827471552751
[88/100] Train Acc: 0.8007, Test Acc: 0.7977263621794872, Train Loss: 1.6550019044876099, Test Loss: 1.6577813182121668
[89/100] Train Acc: 0.8007, Test Acc: 0.7977263621794872, Train Loss: 1.6548461111068726, Test Loss: 1.657656049881226
[90/100] Train Acc: 0.864725, Test Acc: 0.8998898237179487, Train Loss: 1.594993282699585, Test Loss: 1.5612621643604376
[91/100] Train Acc: 0.8649125, Test Acc: 0.8998898237179487, Train Loss: 1.5935181674957275, Test Loss: 1.557655468965188
[92/100] Train Acc: 0.817925, Test Acc: 0.8998898237179487, Train Loss: 1.6394204551696778, Test Loss: 1.5563410612253041
[93/100] Train Acc: 0.9009125, Test Acc: 0.8998898237179487, Train Loss: 1.5552128049850464, Test Loss: 1.5561727766807263
[94/100] Train Acc: 0.8995625, Test Acc: 0.8998898237179487, Train Loss: 1.5563681022644043, Test Loss: 1.55590181855055
[95/100] Train Acc: 0.9009125, Test Acc: 0.8998898237179487, Train Loss: 1.554899007797241, Test Loss: 1.5557339183795147
[96/100] Train Acc: 0.87415, Test Acc: 0.7977263621794872, Train Loss: 1.5829856399536133, Test Loss: 1.6634245721193461
[97/100] Train Acc: 0.8007, Test Acc: 0.7977263621794872, Train Loss: 1.6604507658004761, Test Loss: 1.663424293200175
[98/100] Train Acc: 0.8713, Test Acc: 0.8978365384615384, Train Loss: 1.5896244138717652, Test Loss: 1.563315647534835
[99/100] Train Acc: 0.8997875, Test Acc: 0.8978365384615384, Train Loss: 1.5613635320663453, Test Loss: 1.563314249118169
Done training.
