Sat May 25 15:46:02 2024       
Device: cuda
Warning: total_len is larger than the maximum possible length. 
Setting total_len to the maximum possible length. 
Warning: access length of dataset by len(dataset) to get the actual length. 
[0/100] Train Acc: 0.11458333333333333, Test Acc: 0.1875, Train Loss: 2.3004303773244223, Test Loss: 2.293616771697998
[77/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.469527045885722, Test Loss: 1.4691338539123535
[78/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4691106081008911, Test Loss: 1.4687316417694092
[79/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4687179525693257, Test Loss: 1.468352198600769
[80/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.468347191810608, Test Loss: 1.467994213104248
[81/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.467997133731842, Test Loss: 1.4676564931869507
[82/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.467666506767273, Test Loss: 1.467337965965271
[83/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4673542976379395, Test Loss: 1.4670374393463135
[84/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4670591354370117, Test Loss: 1.4667539596557617
[85/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4667804042498271, Test Loss: 1.4664864540100098
[86/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.46651691198349, Test Loss: 1.466233730316162
[87/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.466267983118693, Test Loss: 1.46599543094635
[88/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4660325249036152, Test Loss: 1.4657697677612305
[89/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4658095637957256, Test Loss: 1.4655561447143555
[90/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4655986229578655, Test Loss: 1.4653538465499878
[91/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4653987487157185, Test Loss: 1.4651623964309692
[92/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4652091066042583, Test Loss: 1.464980959892273
[93/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4650292992591858, Test Loss: 1.4648091793060303
[94/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4648587107658386, Test Loss: 1.464646816253662
[95/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4646968841552734, Test Loss: 1.4644932746887207
[96/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4645432829856873, Test Loss: 1.4643480777740479
[97/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.464397390683492, Test Loss: 1.4642105102539062
[98/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.464258869489034, Test Loss: 1.4640800952911377
[99/100] Train Acc: 1.0, Test Acc: 1.0, Train Loss: 1.4641270240147908, Test Loss: 1.4639558792114258
Done training.
